pos,C1C5v2_C3D7v2_KaKs,C1G11_C1C5v2_KaKs,C1G11_C3D7v2_KaKs,avg_KaKs
1,,,,
7,,,,
13,,,,
19,,,,
25,,,,
31,,,,
37,,,,
43,,,,
49,,,,
55,,,,
61,,,,
67,,,,
73,,,,
79,,,,
85,,,,
91,,,,
97,,,,
103,,,,
109,,,,
115,,,,
121,,,,
127,,,,
133,,,,
139,,,,
145,,,,
151,,,,
157,,,,
163,,,,
169,,,,
175,,,,
181,,,,
187,,,,
193,,,,
199,,,,
205,,,,
211,,,,
217,,,,
223,,,,
229,,,,
235,,,,
241,,,,
247,,,,
253,,,,
259,,,,
265,,,,
271,,,,
277,,,,
283,,,,
289,,,,
295,,,,
301,,,,
307,,,,
313,,,,
319,,,,
325,,,,
331,,,,
337,,,,
343,,,,
349,,,,
355,,0.0,0.0,0.0
361,,0.0,0.0,0.0
367,,0.0,0.0,0.0
373,,0.0,0.0,0.0
379,,0.0,0.0,0.0
385,0.0,0.0,0.0,0.0
391,0.0,0.0,0.0,0.0
397,0.0,0.0,0.0,0.0
403,0.0,0.0,0.0,0.0
409,0.213641,0.0,0.137496,0.11704566666666667
415,0.218955,0.0,0.102845,0.10726666666666668
421,0.432012,0.0970169,0.097477,0.20883530000000003
427,0.458148,0.103907,0.105834,0.22262966666666664
433,0.439321,0.10077,0.102776,0.21428899999999998
439,0.614183,0.0921443,0.193051,0.29979276666666665
445,0.583968,0.0869174,0.183993,0.28495946666666666
451,0.59353,0.0883791,0.186584,0.2894977
457,0.77075,0.0820354,0.277033,0.3766061333333333
463,0.730526,0.0786962,0.26086,0.35669406666666664
469,0.751966,0.105314,0.361212,0.40616399999999997
475,0.789608,0.108056,0.379288,0.4256506666666667
481,0.777458,0.109051,0.373732,0.42008033333333333
487,0.858488,0.120954,0.407498,0.46231333333333335
493,0.981762,0.138677,0.465864,0.5287676666666666
499,1.93923,0.138372,0.72157,0.9330573333333335
505,1.81432,0.130803,0.679979,0.875034
511,1.70204,0.12385,0.641232,0.8223739999999999
517,,0.190757,0.606694,0.39872549999999995
523,,0.4284,0.895721,0.6620604999999999
529,,,,
535,,,,
541,,,,
547,,,,
553,,,,
559,,,,
565,,,,
571,,,,
577,,,,
583,,,,
589,,,,
595,,,,
601,,,,
607,,,,
613,,,,
619,,,,
625,,,,
631,,,,
637,,,,
643,,,,
649,,,,
655,,,,
661,0.0,,0.29887,0.149435
667,0.0,0.319499,0.318996,0.21283166666666667
673,0.0,0.299592,0.298613,0.1994016666666667
679,0.0,0.296275,0.294468,0.19691433333333333
